TrisCalDate,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp
20240715,1,20240714,TD,20:15,20:45,-37.5,20.127,30,7.6,22
20240715,2,20240714,TD,20:15,20:45,-34.7,17.963,30,7.4,18
20240715,3,20240714,TD,20:15,20:45,-52.1,19.649,30,7.8,22
20240715,4,20240714,TD,20:15,20:45,-33.1,18.3,30,7.3,18
20240715,5,20240714,TD,20:15,20:45,-51.1,18.298,30,7.7,18
20240715,6,20240714,TD,20:15,20:45,-47,18.195,30,7.9,18
20240715,7,20240714,TD,20:15,20:45,-50.6,17.338,30,7.5,18
20240715,8,20240714,TD,20:15,20:45,-35.4,18.141,30,7.6,18
20240715,9,20240714,TD,20:15,20:45,-37.1,18.424,30,7.2,18
20240715,10,20240714,TD,20:15,20:45,-49.1,18.292,30,7.8,18
20240715,11,20240714,TD,20:15,20:45,-24.7,19.932,30,7.5,22
20240715,12,20240714,TD,20:15,20:45,-35.3,20.184,30,7.4,22
20240715,13,20240714,TD,20:15,20:45,-56.3,19.325,30,8,18
20240715,14,20240714,TD,20:15,20:45,-27.7,20.344,30,7.2,22
20240715,15,20240714,TD,20:15,20:45,-36.8,20.291,30,7.7,22
20240715,17,20240714,TD,20:15,20:45,-47.9,20.09,30,7.9,22
20240715,18,20240714,TD,20:15,20:45,-34.2,20.143,30,7.3,22
20240715,19,20240714,TD,20:15,20:45,-55.2,20.091,30,8,22
20240715,1,20240715,TD,10:45,11:33,-39.6,22.135,30,7.6,22
20240715,2,20240715,TD,10:45,11:33,-46.1,19.317,30,7.4,18
20240715,3,20240715,TD,10:45,11:33,-55.6,21.23,30,7.8,22
20240715,4,20240715,TD,10:45,11:33,-17.3,19.168,30,7.3,18
20240715,5,20240715,TD,10:45,11:33,-51.3,18.349,30,7.7,18
20240715,6,20240715,TD,10:45,11:33,-50,18.111,30,7.9,18
20240715,7,20240715,TD,10:45,11:33,-54.6,17.592,30,7.5,18
20240715,8,20240715,TD,10:45,11:33,-37.1,18.202,30,7.6,18
20240715,9,20240715,TD,10:45,11:33,-12.9,18.088,30,7.2,18
20240715,10,20240715,TD,10:45,11:33,-49.9,18.182,30,7.8,18
20240715,11,20240715,TD,10:45,11:33,-25.2,21.649,30,7.5,22
20240715,12,20240715,TD,10:45,11:33,-25.3,22.276,30,7.4,22
20240715,13,20240715,TD,10:45,11:33,-57.7,19.317,30,8,18
20240715,14,20240715,TD,10:45,11:33,-11.4,22.024,30,7.2,22
20240715,15,20240715,TD,10:45,11:33,-36.8,22.293,30,7.7,22
20240715,17,20240715,TD,10:45,11:33,-50.6,22.04,30,7.9,22
20240715,18,20240715,TD,10:45,11:33,-15.9,21.944,30,7.3,22
20240715,19,20240715,TD,10:45,11:33,-57,22.07,30,8,22
20240715,1,20240716,TD,16:10,16:40,-23.3,22.194,30,7.6,22
20240715,2,20240716,TD,16:10,16:40,-24.2,17.917,30,7.4,18
20240715,3,20240716,TD,16:10,16:40,-52,23.071,30,7.8,22
20240715,4,20240716,TD,16:10,16:40,-17.9,18.821,30,7.3,18
20240715,5,20240716,TD,16:10,16:40,-31.1,18.173,30,7.7,18
20240715,6,20240716,TD,16:10,16:40,-48.9,18.58,30,7.9,18
20240715,7,20240716,TD,16:10,16:40,-30.9,18.62,30,7.5,18
20240715,8,20240716,TD,16:10,16:40,-35.2,18.307,30,7.6,18
20240715,9,20240716,TD,16:10,16:40,-12.1,18.56,30,7.2,18
20240715,10,20240716,TD,16:10,16:40,-49.1,18.388,30,7.8,18
20240715,11,20240716,TD,16:10,16:40,-22.9,22.234,30,7.5,22
20240715,12,20240716,TD,16:10,16:40,-24.3,22.309,30,7.4,22
20240715,13,20240716,TD,16:10,16:40,-57.3,18.695,30,8,18
20240715,14,20240716,TD,16:10,16:40,-7.8,22.046,30,7.2,22
20240715,15,20240716,TD,16:10,16:40,-36.2,22.386,30,7.7,22
20240715,17,20240716,TD,16:10,16:40,-51,22.171,30,7.9,22
20240715,18,20240716,TD,16:10,16:40,-12.2,22.179,30,7.3,22
20240715,19,20240716,TD,16:10,16:40,-56,22.105,30,8,22
20240715,1,20240717,CB,15:08,15:41,-36.4,22.185,30,7.6,22
20240715,2,20240717,CB,15:08,15:41,-25.3,17.535,30,7.4,18
20240715,3,20240717,CB,15:08,15:41,-51.4,22.265,30,7.8,22
20240715,4,20240717,CB,15:08,15:41,-14.2,18.385,30,7.3,18
20240715,5,20240717,CB,15:08,15:41,-43.1,18.105,30,7.7,18
20240715,6,20240717,CB,15:08,15:41,-48.7,18.067,30,7.9,18
20240715,7,20240717,CB,15:08,15:41,-31.6,18.17,30,7.5,18
20240715,8,20240717,CB,15:08,15:41,-34.6,18.257,30,7.6,18
20240715,9,20240717,CB,15:08,15:41,-11.8,18.195,30,7.2,18
20240715,10,20240717,CB,15:08,15:41,-47.8,18.277,30,7.8,18
20240715,11,20240717,CB,15:08,15:41,-30.4,22.07,30,7.5,22
20240715,12,20240717,CB,15:08,15:41,-22.9,22.302,30,7.4,22
20240715,13,20240717,CB,15:08,15:41,-57.5,18.785,30,8,18
20240715,14,20240717,CB,15:08,15:41,-13.7,22.304,30,7.2,22
20240715,15,20240717,CB,15:08,15:41,-40.5,22.27,30,7.7,22
